model_name,mean_test_score,mean_train_score,mean_fit_time,param_model__C,param_model__class_weight,param_model__criterion,param_model__max_depth,param_model__n_neighbors,param_model__gamma
svc,0.613052530429212,0.7678703611332802,0.2425961971282959,1000.0,No Class Weight,,,,0.01
knn,0.5978098975016015,1.0,0.0060121536254882,,,,,1.0,
decision_tree,0.5933496156310057,0.9937432661612132,0.016634178161621,,No Class Weight,gini,16.0,,
logistic,0.5862748238308777,0.5924950119712691,0.0289418697357177,0.1,No Class Weight,,,,
